SourceNodeID,DestinationNodeID,RegeneratorLocations,NumberOfRegenerators,OPCLocations,ResidualDistance_km
16,8,"40,36,37",3,34,0.0
16,9,40,1,36,1039.99
16,10,"40,36",2,37,0.01
16,11,40,1,39,1359.99
16,12,None,0,40,1040.0
16,13,40,1,36,959.99
16,14,"40,36",2,37,0.01
16,15,None,0,40,640.0
16,17,None,0,40,1040.0
16,18,40,1,41,799.99
16,19,"40,45",2,44,0.01
16,20,40,1,45,719.99
16,21,None,0,40,1040.0
16,22,None,0,40,800.0
16,23,None,0,46,160.0
16,24,46,1,"40,47",2399.98
17,1,"41,40,36,33",4,30,0.0
17,2,"41,40,36,33",4,30,0.0
17,3,"41,40,36,33",4,31,0.0
17,4,"41,40,36,33",4,31,0.0
17,5,"41,37,34",3,32,0.0
17,6,"41,40,36",3,33,0.0
17,7,"41,40,36",3,33,0.0
17,8,"41,37",2,34,0.01
17,9,"41,40",2,36,0.01
17,10,41,1,37,959.99
17,11,"41,40",2,39,0.01
17,12,41,1,40,1039.99
17,13,None,0,41,1120.0
17,14,41,1,37,719.99
17,15,41,1,40,639.99
17,16,None,0,41,1040.0
17,18,None,0,41,800.0
17,19,"46,45",2,"41,44",1200.0
17,20,46,1,"41,45",1919.98
17,21,None,0,46,560.0
17,22,None,0,41,880.0
17,23,None,0,41,1040.0
17,24,41,1,42,959.99
18,1,"42,38,34,33",4,30,0.0
18,2,"42,38,34,33",4,30,0.0
18,3,"42,38,34,33",4,31,0.0
18,4,"42,38,34,33",4,31,0.0
18,5,"42,38,34",3,32,0.0
18,6,"42,38,34",3,33,0.0
18,7,"42,38,34",3,33,0.0
18,8,"42,38",2,34,0.01
18,9,"42,38",2,34,0.01
18,10,42,1,38,879.99
18,11,"42,41,40",3,39,0.0
18,12,"42,41",2,40,0.01
18,13,42,1,41,1119.99
18,14,None,0,42,1200.0
18,15,"42,41",2,40,0.01
18,16,42,1,41,1039.99
18,17,None,0,42,800.0
18,19,"42,46,45",3,"41,44",160.0
18,20,"42,46",2,"41,45",160.01
18,21,42,1,46,1199.99
18,22,42,1,41,879.99
18,23,42,1,41,1039.99
18,24,None,0,42,960.0
19,1,"19,43,35",3,30,0.0
19,2,"19,43,35",3,30,0.0
19,3,"19,43,35,33",4,31,0.0
19,4,"19,43,35,33",4,31,0.0
19,5,"19,43,35,33,31",5,28,0.0
19,6,"19,43,35",3,None,0.0
19,7,"19,43,35",3,33,0.0
19,8,"19,43,35,33",4,34,0.0
19,9,"19,43",2,35,0.01
19,10,"19,43,35",3,33,0.0
19,11,"19,43",2,None,0.0
19,12,"19,43",2,35,0.01
19,13,"43,45,46",3,"44,41",480.0
19,14,"43,45,46,41",4,"44,37",480.0
19,15,43,1,44,1359.99
19,16,"43,44",2,45,0.01
19,17,"43,45",2,"44,46",480.01
19,18,"43,45,46",3,"44,41",480.0
19,20,None,0,43,1200.0
19,21,43,1,44,719.99
19,22,43,1,45,1039.99
19,23,"43,45",2,"44,46",240.01
19,24,"43,45,46",3,"44,47",240.0
20,1,"44,39,35",3,30,0.0
20,2,"44,39,35",3,30,0.0
20,3,"44,45,40,36,33",5,31,0.0
20,4,"44,45,40,36,33",5,31,0.0
20,5,"45,46,41,37,34",5,"44,32",1039.99
20,6,"44,39,35",3,None,0.0
20,7,"44,45,40,36",4,33,0.0
20,8,"45,46,41,37",4,"44,34",1039.99
20,9,"44,45,40",3,36,0.0
20,10,"45,46,41",3,"44,37",1039.99
20,11,44,1,39,1359.99
20,12,"44,45",2,40,0.01
20,13,"45,46",2,"44,41",1040.0
20,14,"45,46,41",3,"44,37",1039.99
20,15,None,0,44,1360.0
20,16,44,1,45,1039.99
20,17,45,1,"44,46",1919.98
20,18,"45,46",2,"44,41",1040.0
20,19,None,0,44,1200.0
20,21,None,0,44,720.0
20,22,None,0,45,400.0
20,23,45,1,"44,46",1679.98
20,24,"45,46",2,"44,47",1040.0
21,1,"45,40,36,33",4,30,0.0
21,2,"45,40,36,33",4,30,0.0
21,3,"45,40,36,33",4,31,0.0
21,4,"45,40,36,33",4,31,0.0
21,5,"46,41,37,34",4,"45,32",1199.99
21,6,"45,40,36",3,33,0.0
21,7,"45,40,36",3,33,0.0
21,8,"46,41,37",3,"45,34",1199.99
21,9,"45,40",2,36,0.01
21,10,"46,41",2,"45,37",1200.0
21,11,"45,40",2,39,0.01
21,12,45,1,40,1039.99
21,13,46,1,"45,41",2319.98
21,14,"46,41",2,"45,37",1200.0
21,15,45,1,40,639.99
21,16,None,0,45,1040.0
21,17,None,0,46,560.0
21,18,46,1,"45,41",1999.98
21,19,45,1,44,1199.99
21,20,None,0,45,720.0
21,22,None,0,45,320.0
21,23,None,0,46,320.0
21,24,46,1,"45,47",1919.98
22,1,"46,40,36,33",4,30,0.0
22,2,"46,40,36,33",4,30,0.0
22,3,"46,40,36,33",4,31,0.0
22,4,"46,40,36,33",4,31,0.0
22,5,"46,41,37,34",4,32,0.0
22,6,"46,40,36",3,33,0.0
22,7,"46,40,36",3,33,0.0
22,8,"46,41,37",3,34,0.0
22,9,"46,40",2,36,0.01
22,10,"46,41",2,37,0.01
22,11,40,1,"46,39",2799.98
22,12,46,1,40,1039.99
22,13,46,1,41,1119.99
22,14,"46,41",2,37,0.01
22,15,None,0,40,160.0
22,16,None,0,46,800.0
22,17,None,0,46,880.0
22,18,46,1,41,799.99
22,19,45,1,"46,44",2239.98
22,20,None,0,45,400.0
22,21,None,0,46,320.0
22,23,None,0,46,640.0
22,24,46,1,47,959.99
23,1,"46,40,36,33",4,"47,30",1439.99
23,2,"46,40,36,33",4,"47,30",1439.99
23,3,"46,40,36,33",4,"47,31",1439.99
23,4,"46,40,36,33",4,"47,31",1439.99
23,5,"47,41,37,34",4,32,0.0
23,6,"46,40,36",3,"47,33",1439.99
23,7,"46,40,36",3,"47,33",1439.99
23,8,"47,41,37",3,34,0.0
23,9,"46,40",2,"47,36",1440.0
23,10,"47,41",2,37,0.01
23,11,"46,40",2,"47,39",1440.0
23,12,46,1,"47,40",2479.98
23,13,47,1,41,1119.99
23,14,"47,41",2,37,0.01
23,15,46,1,"47,40",2079.98
23,16,None,0,46,160.0
23,17,None,0,47,1040.0
23,18,47,1,41,799.99
23,19,"46,45",2,"47,44",960.0
23,20,46,1,"47,45",1679.98
23,21,None,0,46,320.0
23,22,None,0,47,640.0
23,24,None,0,47,960.0
24,1,"48,42,38,34,33",5,30,0.0
24,2,"48,42,38,34,33",5,30,0.0
24,3,"48,42,38,34,33",5,31,0.0
24,4,"48,42,38,34,33",5,31,0.0
24,5,"48,42,38,34",4,32,0.0
24,6,"48,42,38,34",4,33,0.0
24,7,"48,42,38,34",4,33,0.0
24,8,"48,42,38",3,34,0.0
24,9,"48,42,38",3,34,0.0
24,10,"48,42",2,38,0.01
24,11,"48,46,40",3,"47,39",800.0
24,12,"48,46",2,"47,40",1200.01
24,13,"48,42",2,41,0.01
24,14,48,1,42,1199.99
24,15,"48,46",2,"47,40",800.01
24,16,48,1,46,1439.99
24,17,48,1,42,799.99
24,18,None,0,48,960.0
24,19,"48,46,45",3,"47,44",400.0
24,20,"48,46",2,"47,45",400.01
24,21,48,1,46,959.99
24,22,48,1,47,639.99
24,23,None,0,48,960.0
